公司状态,公司规模,链接,职位,薪资,地址,经验,学历,公司名,公司类型,联系人,职务,时间
A轮,0-20人,https://www.zhipin.com/job_detail/65e8e6ea24caf8201HRz2Nq8FlM~.html,python,10k-15k,北京 朝阳区 高碑店,1年以内,本科,大云科技,移动互联网,晋晨,招聘者,发布于12月07日
D轮及以上,10000人以上,https://www.zhipin.com/job_detail/7f3f8b6b57ba3dfe1n1y0tq6GVM~.html,Python开发工程师,20k-40k,北京 海淀区 双榆树,1-3年,本科,北京字节跳动,移动互联网,Jane,HR,发布于05月02日
B轮,100-499人,https://www.zhipin.com/job_detail/ac7bbe415ac477391Xxy29m7E1E~.html,Python架构师,30k-59k,北京 朝阳区 潘家园,3-5年,大专,诸葛找房网,移动互联网,于海玲,招聘者,发布于10月30日
D轮及以上,100-499人,https://www.zhipin.com/job_detail/d6aaa8866ff8c5fa1Xd_2Nm7EVA~.html,高级Python研发工程师,30k-50k,北京 朝阳区 望京,5-10年,本科,更美app,互联网,杨晓楠,HRBP,发布于10月16日
天使轮,0-20人,https://www.zhipin.com/job_detail/78f0ac442d6573791n1439W-EVQ~.html,python后台工程师,10k-20k,北京 朝阳区 酒仙桥,经验不限,大专,追本溯源科技,互联网,零振勰,CEO,发布于07月18日
A轮,20-99人,https://www.zhipin.com/job_detail/64da2a13a53df8ee1Xx729q6ElQ~.html,Python工程师（后端）,15k-30k,北京 朝阳区 立水桥,3-5年,本科,金睛云华,信息安全,韩明超,招聘者,发布于10月17日
已上市,1000-9999人,https://www.zhipin.com/job_detail/c1ac2c87498af6e21HRy39W4ElE~.html,Python开发leader,30k-40k,北京 海淀区 马连洼,5-10年,本科,广联达,计算机软件,刘莉莉,招聘者,发布于12月07日
,100-499人,https://www.zhipin.com/job_detail/45842f1c27b5e2511XJ-29S7GVE~.html,Python,25k-40k,北京 西城区 马连道,1年以内,本科,华视网聚,音乐/视频/阅读,王明爽,招聘者,发布于09月13日
A轮,100-499人,https://www.zhipin.com/job_detail/531a8a40b28e4f591HR93NW-F1o~.html,Python开发工程师,15k-20k,北京 海淀区 北京大学,1-3年,本科,清北华数教育,培训机构,李宏宇,招聘者,发布于12月04日
未融资,100-499人,https://www.zhipin.com/job_detail/87d029d7208a91911XF_0t2_FFc~.html,Software Developer(Python and Java),15k-20k,北京 朝阳区 团结湖,5-10年,学历不限,CRMFactory,计算机软件,王冉,HR,发布于08月30日
