公司状态,公司规模,链接,职位,薪资,地址,经验,学历,公司名,公司类型,联系人,职务,时间
已上市,10000人以上,https://www.zhipin.com/job_detail/eaaec8791aa26df11Xx-2NS8E1U~.html,Python,25k-50k,北京 朝阳区 望京,5-10年,本科,阿里巴巴集团,互联网,戴官宏,招聘者,发布于10月23日
D轮及以上,10000人以上,https://www.zhipin.com/job_detail/40e5b48ae110a9f81HV62dm8GFU~.html,Python,20k-40k,北京 海淀区 北京大学,经验不限,本科,今日头条,移动互联网,张杨涛,招聘者,发布于12月09日
已上市,10000人以上,https://www.zhipin.com/job_detail/1ea24fe41f1925291nRz0t69EVE~.html,Python,15k-30k,北京 海淀区 西北旺,经验不限,本科,百度,互联网,李政,招聘者,发布于12月06日
已上市,10000人以上,https://www.zhipin.com/job_detail/3ca7802c2c678fb71XJ839q7GVA~.html,Python,40k-50k,北京 朝阳区 望京,5-10年,本科,阿里集团,移动互联网,杨晨,招聘者,发布于09月17日
C轮,1000-9999人,https://www.zhipin.com/job_detail/7dbf05564030964a1HR42Ni8E1U~.html,Python,20k-30k,北京 海淀区 中关村,3-5年,本科,旷视科技,移动互联网,F先生,移动开发,发布于11月24日
不需要融资,500-999人,https://www.zhipin.com/job_detail/27c87ee2739d950c1HR-3t--FlM~.html,python工程师,15k-30k,北京 朝阳区 团结湖,3-5年,本科,中方信富,互联网金融,方亚楠,人事专员,发布于11月29日
已上市,1000-9999人,https://www.zhipin.com/job_detail/42db2756750a587b1XN539-_E1M~.html,Python,20k-40k,北京 海淀区 北京大学,1-3年,硕士,爱奇艺,互联网,雷威,招聘者,发布于10月01日
不需要融资,100-499人,https://www.zhipin.com/job_detail/daadf3287abc01d41XJ62dS1E1Q~.html,Python,25k-50k,北京 朝阳区 常营,3-5年,本科,拿云智成,互联网,赵杨,招聘者,发布于09月07日
D轮及以上,10000人以上,https://www.zhipin.com/job_detail/4d2cf6e2e885511a1XV60t67ElI~.html,Python,25k-40k,北京 海淀区 双榆树,1-3年,本科,今日头条,移动互联网,陈杰,工程师,发布于05月30日
A轮,500-999人,https://www.zhipin.com/job_detail/7ea565cc290f201d1X192Ny_GVI~.html,python,20k-40k,北京 海淀区 清河,3-5年,本科,千锋互联科技,在线教育,李海宁,招聘者,发布于11月15日
D轮及以上,10000人以上,https://www.zhipin.com/job_detail/0e141339ff44e0751HR42d-_EFE~.html,Python,30k-60k,北京 海淀区 知春路,3-5年,本科,今日头条,移动互联网,徐秀丽,招聘者,发布于11月23日
已上市,10000人以上,https://www.zhipin.com/job_detail/748e99363f53f18f1XJ52Nq_ElA~.html,Python,25k-50k,北京 海淀区 马连洼,1年以内,本科,百度,互联网,张驰,招聘者,发布于12月06日
A轮,100-499人,https://www.zhipin.com/job_detail/5abed50fdcfdd3461XN83di8GFQ~.html,Python,20k-40k,北京 海淀区 世纪城,经验不限,本科,海知智能,互联网,李媛媛,招聘者,发布于10月10日
C轮,1000-9999人,https://www.zhipin.com/job_detail/dacb23b5117958091HR40t24EFc~.html,python,15k-30k,北京 朝阳区 望京,3-5年,本科,云校,互联网,王女士,招聘者,发布于11月26日
天使轮,0-20人,https://www.zhipin.com/job_detail/7d7378d92c1c2be31nN43Ni6F1U~.html,Python,20k-35k,北京 海淀区 魏公村,1-3年,本科,一起竞赛网,在线教育,刘志军,CTO,发布于12月01日
A轮,1000-9999人,https://www.zhipin.com/job_detail/2c3c8a332a7478681Xx52d-9FFI~.html,Python,30k-50k,北京 海淀区 上地,1-3年,本科,百度金融,互联网,张会奇,招聘者,发布于10月22日
已上市,1000-9999人,https://www.zhipin.com/job_detail/5123950f3d1c20851nZz29-4EFc~.html,Python,15k-30k,北京  ,3-5年,本科,金风科技,计算机软件,陈工,团队主管,发布于07月28日
未融资,100-499人,https://www.zhipin.com/job_detail/59f8500113ffb0171XJ42NS1F1A~.html,python,10k-16k,北京 海淀区 中关村,1-3年,本科,云智汇信息,企业服务,叶强,人事招聘,发布于09月11日
D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/bcb9a2e1707c57ad1XB_29W5EVA~.html,Python,20k-40k,北京 海淀区 万柳,3-5年,本科,饿了么,O2O,吴先生,招聘者,发布于08月10日
已上市,10000人以上,https://www.zhipin.com/job_detail/d4f1b15eb47cce721X1929W7FVE~.html,Python工程师,15k-20k,北京 朝阳区 建国路,1-3年,本科,和信信息,互联网金融,赵浩宇,招聘经理,发布于11月14日
C轮,100-499人,https://www.zhipin.com/job_detail/720b4fed5091a9371XF_3NS_EFs~.html,Python,15k-30k,北京 海淀区 上地,3-5年,本科,中睿天下,互联网,胡书玲,人事部经理,发布于11月01日
已上市,100-499人,https://www.zhipin.com/job_detail/0287ee75a5b46d931X180929ElU~.html,Python,18k-36k,北京 朝阳区 三元桥,3-5年,本科,智美体育集团,其他行业,梁女士,全民健身大数据平台总监,发布于11月14日
天使轮,100-499人,https://www.zhipin.com/job_detail/c77c1a909031c5131XNy2du8EVc~.html,Python,20k-40k,北京 海淀区 上地,3-5年,本科,Aibee,互联网,高敏,招聘者,发布于11月15日
已上市,10000人以上,https://www.zhipin.com/job_detail/0974919197dc9ec11nJ929i-FVo~.html,Python,20k-40k,北京 朝阳区 亚运村,5-10年,本科,京东集团,电子商务,宋增超,招聘者,发布于12月06日
已上市,10000人以上,https://www.zhipin.com/job_detail/2471b68bc348a9211HR92ti9GVY~.html,python开发,12k-16k,北京 朝阳区 望京,3-5年,大专,博彦科技,计算机软件,徐媛媛,招聘者,发布于12月03日
D轮及以上,10000人以上,https://www.zhipin.com/job_detail/1b5dfc35da3121301Xd829i7Fls~.html,python工程师,20k-40k,北京 海淀区 苏州街,3-5年,本科,今日头条,移动互联网,王密,HRBP,发布于07月24日
B轮,100-499人,https://www.zhipin.com/job_detail/c13de02633f7a1491HRz2tm7FlI~.html,Python,15k-20k,北京 海淀区 学院路,1-3年,本科,志翔科技,信息安全,王立伟,云计算工程师,发布于12月06日
不需要融资,1000-9999人,https://www.zhipin.com/job_detail/8c36e374dcc515e81HRy39q9GFo~.html,Python,12k-17k,北京 朝阳区 望京,3-5年,大专,武汉佰钧成,计算机软件,张盛,HR,发布于12月05日
不需要融资,100-499人,https://www.zhipin.com/job_detail/420178445baf270d1XJ629q0GVU~.html,Python,20k-40k,北京 海淀区 北太平庄,3-5年,本科,混沌研习社,在线教育,杨帆,招聘者,发布于09月06日
B轮,100-499人,https://www.zhipin.com/job_detail/3515c4b6aeb77ffc1XN439u_F1Q~.html,Python,10k-15k,北京 海淀区 魏公村,3-5年,本科,广视通达,移动互联网,Susan,人力资源经理,发布于09月28日
A轮,20-99人,https://www.zhipin.com/job_detail/a049ed96c33c0f9d1XRy2dS8F1I~.html,Python,15k-25k,北京 海淀区 五道口,5-10年,本科,水木品格,医疗健康,吴路,技术总监,发布于05月30日
未融资,0-20人,https://www.zhipin.com/job_detail/6505dc44801079261HRz2t29FlM~.html,Python,30k-50k,北京 朝阳区 大山子,经验不限,本科,艾鹏承远,电子商务,梁凯,招聘者,发布于12月06日
D轮及以上,500-999人,https://www.zhipin.com/job_detail/46b4d18388f30b571Xd809-_FlQ~.html,Python,18k-25k,北京 海淀区 苏州街,3-5年,本科,乐元素,游戏,张圣爱,招聘者,发布于12月06日
B轮,100-499人,https://www.zhipin.com/job_detail/cf32823be47d49fa1HR92d--GVA~.html,python,12k-24k,北京 朝阳区 东大桥,3-5年,本科,车势科技,互联网,李林林,招聘者,发布于昨天
已上市,10000人以上,https://www.zhipin.com/job_detail/1d0bc53062148c9d1HR62Ny0EVQ~.html,Python讲师,15k-30k,北京 海淀区 清河,1-3年,本科,中公教育,在线教育,王艳莉,HR,发布于11月20日
D轮及以上,100-499人,https://www.zhipin.com/job_detail/e7b8281775aec7ef1X172d25FFA~.html,Python(北京）,18k-36k,北京 朝阳区 东大桥,3-5年,本科,蜻蜓FM,互联网,常夕露,HRBP,发布于11月05日
不需要融资,20-99人,https://www.zhipin.com/job_detail/1be1bc10532228341XR_3N-7F1E~.html,Python工程师,8k-15k,北京 朝阳区 三元桥,1-3年,本科,Pocoweb,数据服务,孙立文,CEO,发布于11月29日
B轮,500-999人,https://www.zhipin.com/job_detail/0ad1c2692afdc2301XN80t61FlY~.html,Python,10k-20k,北京 海淀区 五道口,3-5年,本科,魔门塔科技,计算机软件,安浩然,招聘者,发布于10月10日
不需要融资,1000-9999人,https://www.zhipin.com/job_detail/dc102355f765f8a11HR40tS1FVI~.html,Python爬虫工程师,15k-30k,北京 丰台区 花乡,3-5年,本科,数创天下,数据服务,任宪顺,爬虫组经理,发布于11月26日
未融资,100-499人,https://www.zhipin.com/job_detail/8e833862e0884a5e0XV42t27Fg~~.html,Python,10k-20k,北京 朝阳区 豆各庄,经验不限,学历不限,其卡通动画,音乐/视频/阅读,杜文,三维总监,发布于12月05日
A轮,100-499人,https://www.zhipin.com/job_detail/ef667206de0e84931XF83Nm_F1s~.html,Python,15k-25k,北京 海淀区 紫竹桥,3-5年,本科,美轮科技,电子商务,程坚,CHO,发布于10月09日
B轮,100-499人,https://www.zhipin.com/job_detail/3cc688b8a47685b61XZ82N24FVc~.html,python,15k-25k,北京 昌平区 回龙观,经验不限,本科,美洽,互联网,孟影,招聘,发布于07月04日
未融资,20-99人,https://www.zhipin.com/job_detail/14d739fa6a82925e1HR_2tS1EVU~.html,python,15k-25k,北京 朝阳区 建国路,3-5年,本科,景星科技,互联网,钟女士,人事专员,发布于11月29日
不需要融资,100-499人,https://www.zhipin.com/job_detail/e4c4acb066d2471b1XF53t-4GVs~.html,python,15k-20k,北京 朝阳区 大山子,1年以内,本科,九易广告,广告营销,anne,招聘主管,发布于08月27日
B轮,100-499人,https://www.zhipin.com/job_detail/60aba88228a13e2e0XV639m8Eg~~.html,Python,16k-25k,北京 朝阳区 朝外,经验不限,本科,车势科技,互联网,黄海凤,招聘者,发布于12月05日
D轮及以上,10000人以上,https://www.zhipin.com/job_detail/e7dbbaaa08efe42e1nJ-2d-6Flo~.html,Python,30k-60k,北京 海淀区 中关村,3-5年,本科,滴滴出行,移动互联网,张强,招聘者,发布于12月06日
天使轮,100-499人,https://www.zhipin.com/job_detail/36c47e94057d94cd1HRz2tq1FlE~.html,python,11k-18k,北京 顺义区 后沙峪,1-3年,本科,金泰亚盛,计算机软件,徐女士,招聘者,发布于12月06日
不需要融资,20-99人,https://www.zhipin.com/job_detail/c8d65d19ba3eec1f1nN82ty5EVU~.html,Python,14k-20k,北京  ,3-5年,大专,红果科技,移动互联网,赵继远,技术总监,发布于昨天
,100-499人,https://www.zhipin.com/job_detail/8e4408c264072ebc1nJ-3tu7GFY~.html,Python,20k-40k,北京 海淀区 五道口,1年以内,本科,联袂互动,互联网,焦正,技术总监,发布于04月25日
不需要融资,20-99人,https://www.zhipin.com/job_detail/6c30ac3c44f29cf01nJ429-5Ew~~.html,北京Python,13k-20k,北京 海淀区 上地,3-5年,本科,码博科技,计算机软件,马建军,总工程师,发布于11月23日
C轮,1000-9999人,https://www.zhipin.com/job_detail/3a78d05b8eb1bef21nJ_3ti_FFc~.html,python高级后端工程师,25k-50k,北京 海淀区 中关村,3-5年,本科,旷视科技,移动互联网,王月,HR,发布于12月06日
D轮及以上,10000人以上,https://www.zhipin.com/job_detail/c0cecae1bce8589b1XV439W9GFo~.html,高级python工程师,40k-60k,北京 海淀区 苏州街,3-5年,本科,今日头条,移动互联网,王密,HRBP,发布于06月03日
已上市,10000人以上,https://www.zhipin.com/job_detail/8cae0c8480af7afe1HR709S6FVo~.html,Python 讲师,15k-30k,北京 海淀区 学院路,3-5年,本科,中公教育,在线教育,于小霜,招聘者,发布于11月23日
C轮,20-99人,https://www.zhipin.com/job_detail/8d0a0236e17417431nx829q0Els~.html,Python,13k-20k,北京 朝阳区 望京,5-10年,本科,星澜科技,互联网,侯树明,ceo,发布于11月19日
天使轮,0-20人,https://www.zhipin.com/job_detail/697074077a4a63661nZ73t2_EFc~.html,Python,8k-16k,北京 海淀区 学院路,1-3年,本科,芽芽科技,互联网,常东升,CEO,发布于12月06日
C轮,10000人以上,https://www.zhipin.com/job_detail/31953aff5d59862a1HR53tW7ElQ~.html,Python开发工程师,10k-15k,北京 顺义区 马坡,3-5年,本科,京北方,互联网金融,李佳恩,招聘主管,发布于11月27日
天使轮,20-99人,https://www.zhipin.com/job_detail/7460dc4236625b7f1XV_3N-_E1I~.html,Python,15k-25k,北京 海淀区 万寿路,3-5年,本科,BoringKillerLtd,移动互联网,刘倩倩,人事,发布于08月31日
,20-99人,https://www.zhipin.com/job_detail/b623ef0f941a069d1HR90t29EVQ~.html,Python,11k-18k,北京 海淀区 学院路,3-5年,本科,指动科技,计算机软件,李女士,招聘者,发布于12月04日
未融资,500-999人,https://www.zhipin.com/job_detail/f03a53e892f9b4f31nN_29-1GFY~.html,Python讲师,20k-35k,北京 房山区 窦店,3-5年,本科,北网,在线教育,史杏然,招聘者,发布于07月25日
不需要融资,100-499人,https://www.zhipin.com/job_detail/df5b4577270bd4291XJ53Nu1F1U~.html,高级Python,35k-65k,北京 朝阳区 望京,5-10年,本科,柯贝互动,数据服务,苏杰,招聘者,发布于11月30日
不需要融资,20-99人,https://www.zhipin.com/job_detail/90b70dd44200bf711nd_0ti-FVo~.html,python,14k-24k,北京  ,3-5年,本科,险峰长青,移动互联网,洲哲,HR,发布于12月06日
A轮,500-999人,https://www.zhipin.com/job_detail/e840c1b8a8a3c29f1X153di-F1E~.html,Python教研,25k-50k,北京 海淀区 清河,3-5年,本科,千锋互联,在线教育,张现芳,招聘专员,发布于11月26日
B轮,100-499人,https://www.zhipin.com/job_detail/a9821a06d6a943871XZ739u5FVI~.html,Python 工程师,40k-60k,北京 朝阳区 三元桥,5-10年,本科,裕木,生活服务,徐宁,招聘者,发布于09月10日
不需要融资,20-99人,https://www.zhipin.com/job_detail/5aeb49f6680025941XBz39m4EVI~.html,Python,10k-14k,北京 朝阳区 国贸,1-3年,大专,贰伍陆,广告/公关/会展,杨东方,总务,发布于08月19日
A轮,20-99人,https://www.zhipin.com/job_detail/388dc0e656d8bbfc1X1-2t2-Elc~.html,python开发,30k-60k,北京 东城区 东直门,经验不限,本科,客知音,计算机软件,Alice,招聘者,发布于11月09日
未融资,0-20人,https://www.zhipin.com/job_detail/d8711cf59ba6266c1XJ929i7ElI~.html,Python,10k-15k,北京 东城区 雍和宫,1-3年,本科,北京森特时代科技,互联网,张女士,人事行政主管,发布于09月18日
B轮,100-499人,https://www.zhipin.com/job_detail/a189fe9a827e2dd71HR_09--FlI~.html,Python爬虫,5k-6k,北京 海淀区 五道口,应届生,本科,阿凡题,移动互联网,雷蕾,HRBP,发布于12月07日
B轮,20-99人,https://www.zhipin.com/job_detail/506d49b7360ebaa21X183N-_FFM~.html,Python工程师,20k-30k,北京 海淀区 牡丹园,5-10年,本科,GeneDock,医疗健康,李厦戎,CEO,发布于11月14日
B轮,1000-9999人,https://www.zhipin.com/job_detail/543b093b767083f51HR62ti6E1o~.html,python工程师,30k-60k,北京 朝阳区 北苑,5-10年,本科,58到家,互联网,申书林,招聘者,发布于11月29日
A轮,20-99人,https://www.zhipin.com/job_detail/aff5207f6b757cdb1n142d2-ElY~.html,Python讲师,25k-50k,北京 昌平区 沙河,1-3年,本科,老男孩IT教育,在线教育,武沛齐,Python教学总监,发布于04月13日
已上市,10000人以上,https://www.zhipin.com/job_detail/1b36338328e650e01Xx62dW-FlM~.html,Python开发,13k-18k,北京 朝阳区 来广营,3-5年,本科,纬创,计算机软件,刘晓宁,HR,发布于昨天
不需要融资,100-499人,https://www.zhipin.com/job_detail/d14bcc70ceebc2fb1nx40tq8F1s~.html,python讲师,30k-50k,北京 昌平区 北七家,3-5年,本科,尚硅谷,在线教育,胡梦缘,讲师,发布于06月01日
B轮,100-499人,https://www.zhipin.com/job_detail/714f0611e75b71001nx52ty-Els~.html,Python工程师,20k-35k,北京 朝阳区 小关,3-5年,本科,好巧网,互联网,耿雷雷,招聘经理,发布于09月26日
B轮,100-499人,https://www.zhipin.com/job_detail/6e43d7e4a57c80521Xd429q5EVI~.html,python服务器,14k-28k,北京 朝阳区 朝外,3-5年,本科,途游游戏,游戏,窦灿,HRBP,发布于07月16日
C轮,1000-9999人,https://www.zhipin.com/job_detail/cdf28a2c63fbc0221XR829-4GFI~.html,Python后端开发工程师,15k-30k,北京 海淀区 中关村,3-5年,本科,旷视科技,移动互联网,王月,HR,发布于05月18日
A轮,500-999人,https://www.zhipin.com/job_detail/9d57a6e3c4521e161XN639u6ElE~.html,Python工程师,15k-25k,北京 朝阳区 高碑店,经验不限,本科,猎户星空,智能硬件,张晓东,招聘主管,发布于09月25日
不需要融资,100-499人,https://www.zhipin.com/job_detail/7b74cca144150acd1XV-2N69EVE~.html,python讲师,40k-70k,北京 房山区 良乡,5-10年,硕士,北京网信华创,培训机构,宋岸泽,运营总监,发布于06月07日
B轮,100-499人,https://www.zhipin.com/job_detail/a2babd482ac688951HV6392_GFA~.html,Python组长,20k-30k,北京 朝阳区 东大桥,5-10年,本科,车势科技,互联网,黄海凤,招聘者,发布于12月09日
B轮,100-499人,https://www.zhipin.com/job_detail/9fa422b2900808d81XN90ty7ElI~.html,python工程师,15k-30k,北京 朝阳区 北苑,3-5年,本科,北京雷石,互联网,苑明玥,人力资源部经理,发布于10月12日
A轮,20-99人,https://www.zhipin.com/job_detail/b0be5e62823ad3581X173tS9FFs~.html,python（ai）,20k-40k,北京 东城区 东直门,经验不限,本科,客知音,计算机软件,王琼,招聘者,发布于11月05日
已上市,10000人以上,https://www.zhipin.com/job_detail/1cf12176fd61f5c21X1929W4E1Q~.html,高级Python工程师,18k-25k,北京 朝阳区 建国路,3-5年,本科,和信信息,互联网金融,赵浩宇,招聘经理,发布于11月14日
不需要融资,20-99人,https://www.zhipin.com/job_detail/d0b00934094bb7de1XZ_2tu_GVY~.html,Python,20k-40k,北京 朝阳区 酒仙桥,3-5年,本科,哦喉科技,互联网,唐女士,招聘者,发布于08月02日
D轮及以上,10000人以上,https://www.zhipin.com/job_detail/789400f78210e6df1Xd-3960FlE~.html,python开发工程师,20k-40k,北京 海淀区 苏州街,1-3年,本科,今日头条,移动互联网,王密,HRBP,发布于07月20日
已上市,1000-9999人,https://www.zhipin.com/job_detail/3e0f7074985498a11XJ93tq1FFc~.html,python工程师,15k-25k,北京 海淀区 苏州街,3-5年,本科,汽车之家,互联网,赵欣,招聘,发布于09月19日
天使轮,20-99人,https://www.zhipin.com/job_detail/e324098939e40ccb1XN93N-5FVI~.html,Python,7k-10k,北京 朝阳区 劲松,1年以内,本科,智教未来人工智能教育,计算机软件,郑建奇,招聘者,发布于10月19日
已上市,10000人以上,https://www.zhipin.com/job_detail/06f45513d081e1f81XJ_09S0EVU~.html,高级python服务工程师,20k-40k,北京 海淀区 西二旗,3-5年,本科,百度,互联网,吕旭光,经理,发布于09月17日
不需要融资,100-499人,https://www.zhipin.com/job_detail/1582fc49d3e8a1c11HR42d-8GVs~.html,Python,28k-35k,北京 朝阳区 常营,5-10年,本科,拿云智成,互联网,张鑫磊,招聘者,发布于11月28日
未融资,20-99人,https://www.zhipin.com/job_detail/2f6ed75e9538e4a91HR43Nq8E1c~.html,Python工程师,25k-35k,北京 朝阳区 太阳宫,3-5年,本科,成都俊佳和,咨询,王家钧,招聘者,发布于12月04日
已上市,500-999人,https://www.zhipin.com/job_detail/e6ddb7006e9d5bd11XF43t29ElE~.html,python工程师,10k-20k,北京  ,1-3年,本科,航班管家,互联网,张穆茜,HRBP,发布于08月24日
D轮及以上,10000人以上,https://www.zhipin.com/job_detail/f2a47b2f40c53bd41XJ93Nm_GVQ~.html,python开发,25k-45k,北京 海淀区 上地,3-5年,本科,滴滴出行,移动互联网,沈女士,招聘者,发布于10月19日
天使轮,0-20人,https://www.zhipin.com/job_detail/b52529ceb20b70481XV_2NW4FlY~.html,Python,5k-6k,北京 海淀区 五道口,3-5年,本科,奥国,培训机构,马璐静,监事,发布于06月09日
A轮,0-20人,https://www.zhipin.com/job_detail/70cb73790bfc4a7d1XR52N-1E1U~.html,Python,15k-16k,北京 朝阳区 立水桥,3-5年,本科,ppmessage,移动互联网,丁贵金,CEO,发布于05月25日
D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/55dbe2a355409c9d1XBy2NW0ElA~.html,Python教研,15k-20k,北京 东城区 北新桥,3-5年,本科,弘成教育,互联网,杜佳,招聘经理,发布于10月22日
不需要融资,1000-9999人,https://www.zhipin.com/job_detail/0d28b774cc34b4ea1XNy2dS-ElA~.html,高级Python后端工程师,26k-52k,北京 朝阳区 大屯,5-10年,本科,百乘金控,互联网金融,叶荣烜,量化负责人,发布于10月12日
C轮,500-999人,https://www.zhipin.com/job_detail/1061a243a2ac86781XV_3dS5ElE~.html,高级python工程师,20k-35k,北京 海淀区 四季青,5-10年,本科,首都在线,互联网,彭杉杉,高级招聘专员,发布于07月04日
已上市,10000人以上,https://www.zhipin.com/job_detail/5e297d9c4f8b69f91X193tq-ElI~.html,Python开发工程师,9k-16k,北京 顺义区 光明,1-3年,本科,文思海辉,计算机软件,王方影,人事专员,发布于12月04日
不需要融资,10000人以上,https://www.zhipin.com/job_detail/8b9fc2f7a5fa87861XN43t66F1E~.html,高级python工程师,28k-50k,北京 朝阳区 朝外,经验不限,本科,国美金控,互联网金融,缪钧玮,招聘者,发布于10月21日
已上市,10000人以上,https://www.zhipin.com/job_detail/e81c29c393fcef851nx53Nu4E1I~.html,Python开发工程师,15k-25k,北京 海淀区 八里庄,5-10年,本科,物美集团,生活服务,廖宇,招聘者,发布于11月17日
,20-99人,https://www.zhipin.com/job_detail/e43058971f8d9d911XJz2ti7FlY~.html,Python工程师,6k-12k,北京 海淀区 紫竹桥,1-3年,本科,柏思睿特,计算机硬件,王伟,招聘者,发布于09月21日
C轮,100-499人,https://www.zhipin.com/job_detail/9db58fc74d6d25541nNy2NS6FVU~.html,Python工程师,25k-35k,北京 朝阳区 太阳宫,1-3年,本科,老虎集团,互联网,张迪,HRBP,发布于11月21日
C轮,1000-9999人,https://www.zhipin.com/job_detail/00f4a8fd8dced21c1HR62dy-GVA~.html,Python开发工程师,4k-6k,北京 海淀区 中关村,应届生,本科,旷视科技,移动互联网,F先生,移动开发,发布于11月21日
已上市,10000人以上,https://www.zhipin.com/job_detail/7abcce4d41e7eb0e1HR73tm-GVQ~.html,python技术经理,30k-50k,北京 海淀区 中关村,5-10年,本科,好未来,互联网,张女士,招聘者,发布于11月22日
已上市,500-999人,https://www.zhipin.com/job_detail/5cfe3a7bb92107e41XVy3NW1Flc~.html,python讲师,20k-38k,北京  ,1-3年,本科,光环国际,在线教育,冯朦朦,HR,发布于06月19日
A轮,20-99人,https://www.zhipin.com/job_detail/b5765a13e4feb4021X1939m5EFo~.html,Python（语音智能）,20k-40k,北京 东城区 东直门,1-3年,本科,客知音,计算机软件,王琼,招聘者,发布于11月21日
天使轮,20-99人,https://www.zhipin.com/job_detail/45b70af3eebea2651HRy2t2-GFI~.html,Python工程师,5k-10k,北京 海淀区 远大路,经验不限,本科,TECHPLAY,在线教育,李晓光,CEO,发布于12月05日
C轮,100-499人,https://www.zhipin.com/job_detail/24c2c74247028f511XJy39W1F1s~.html,Python,20k-35k,北京  ,3-5年,本科,The ONE,互联网,朱悦,招聘者,发布于09月29日
已上市,1000-9999人,https://www.zhipin.com/job_detail/c12a6c0d031a51fb1HR62d2_GFo~.html,python人工智能讲师,25k-40k,北京 昌平区 西三旗,3-5年,大专,传智播客,在线教育,刘东红,招聘者,发布于11月21日
A轮,500-999人,https://www.zhipin.com/job_detail/c1927c95019316b01XN639u0EVY~.html,Python工程师,10k-20k,北京 朝阳区 高碑店,经验不限,本科,猎户星空,智能硬件,张晓东,招聘主管,发布于11月07日
天使轮,100-499人,https://www.zhipin.com/job_detail/9f78a61387b7e0ee1nVy2t-1EFo~.html,Python高级工程师,8k-16k,北京  ,经验不限,本科,北京享睡科技有限公司,移动互联网,朱艳娇,招聘者,发布于12月06日
A轮,100-499人,https://www.zhipin.com/job_detail/136434787437e0b51XB83Nm5GVI~.html,Python工程师,20k-40k,北京 朝阳区 三元桥,3-5年,本科,米可世界,互联网,周晶,招聘者,发布于08月14日
已上市,1000-9999人,https://www.zhipin.com/job_detail/3f56795411c9354e1Xd80tu9F1E~.html,Python后台开发,16k-32k,北京  ,3-5年,本科,猎豹移动,互联网,张洛娃,招聘者,发布于07月25日
未融资,100-499人,https://www.zhipin.com/job_detail/32db79b71c08eb111XJz3ty7GFA~.html,python工程师,20k-30k,北京 朝阳区 三元桥,5-10年,本科,北京行云未来科技...,互联网,李永泽,招聘者,发布于11月15日
B轮,500-999人,https://www.zhipin.com/job_detail/f1447ecec202bbcf1HV62di8E1c~.html,Python开发工程师,15k-25k,北京 朝阳区 望京,5-10年,本科,火花思维,在线教育,王先生,招聘者,发布于12月08日
不需要融资,20-99人,https://www.zhipin.com/job_detail/1a6451f01f9f6d2f1HR_39S4E1s~.html,Python,12k-24k,北京 大兴区 亦庄,经验不限,本科,平中软件,计算机软件,许中,总经理,发布于11月29日
B轮,100-499人,https://www.zhipin.com/job_detail/bca00645de63fe101HRz2N29EFQ~.html,Python,15k-25k,北京  ,经验不限,本科,志翔科技,信息安全,刘明,研发工程师,发布于12月06日
C轮,1000-9999人,https://www.zhipin.com/job_detail/f11f24730b420f5c1nN62t24FVo~.html,Python开发工程师,25k-50k,北京 海淀区 中关村,3-5年,本科,Face++,互联网,尹利,人力资源总监,发布于12月06日
C轮,100-499人,https://www.zhipin.com/job_detail/622f2c9145d696861nV-29y6FVM~.html,python工程师,20k-40k,北京 朝阳区 太阳宫,3-5年,本科,老虎集团,互联网,田超,招聘主管,发布于10月09日
B轮,100-499人,https://www.zhipin.com/job_detail/ccdf63c93bb2cbff1XJz2d-0E1M~.html,Python后端开发工程师,25k-30k,北京 朝阳区 花家地,经验不限,学历不限,柔持英语教育,在线教育,王秀,招聘者,发布于09月21日
A轮,20-99人,https://www.zhipin.com/job_detail/32c3a79a10ddb3a21HR70tm-F1A~.html,Python工程师,10k-15k,北京 朝阳区 望京,1-3年,本科,海马轻帆,移动互联网,王金昕,HR,发布于11月23日
不需要融资,100-499人,https://www.zhipin.com/job_detail/1f9403a7e4715a401HR-0965E1E~.html,Python开发工程师,15k-30k,北京 海淀区 五道口,1-3年,本科,iHandy,移动互联网,曹鹤馨,招聘顾问,发布于11月28日
