标题,面积,楼型,建筑年份,挂牌时间,上次交易,地区,区域,小区,单价,总价,户型,楼层,总楼层,关注人数,带看,朝向,装修
高层三居室，业主诚意出售，随时看房,171.42,塔楼,2005年,2018-05-06,2009-09-14,朝阳,东大桥,新城国际,118423.0,2030.0,3室2厅,中楼层,32,104,22,东南 西北,精装
灯市口三居少有户型 带电梯产权清晰靠谱卖 我的老业主,70.61,板塔结合,1990年,2018-05-20,1997-07-07,东城,灯市口,灯市口大街,118964.0,840.0,3室1厅,低楼层,10,170,20,西南,精装
万科南北通透三居室 开发商精装修 随时看房,172.84,板塔结合,2008年,2018-05-27,2010-11-19,丰台,青塔,万科紫苑,66536.0,1150.0,3室1厅,顶层,9,264,24,南 北,精装
此房南北通透板楼两居室，高楼层采光好，公摊小,84.66,板楼,2000年,2018-05-31,2007-01-29,通州,武夷花园,水仙园,45949.0,389.0,2室1厅,顶层,6,258,26,南 北,精装
三环新城8号院，2007年的小区，地铁10号线丰台站,111.78,板楼,2006年,2018-06-02,2008-12-19,丰台,玉泉营,三环新城8号院,53677.0,600.0,3室1厅,低楼层,22,189,20,东南 北,简装
满五年唯一 精装修 两梯四户 看房方便,97.05,板塔结合,2007年,2018-06-03,2009-06-06,石景山,鲁谷,远洋山水,65946.0,640.0,2室2厅,底层,26,332,19,南,精装
崇文门，广渠门，东花市，北京上舍朝南两居室,81.62,塔楼,2008年,2018-06-04,2011-07-29,东城,广渠门,北京上舍,77187.0,630.0,2室1厅,中楼层,15,380,20,南,精装
龙博苑三区 南北通透两居 高楼层采光好,80.26,板楼,2005年,2018-06-06,2008-06-30,昌平,回龙观,龙博苑三区,47970.0,385.0,2室1厅,高楼层,6,138,21,南 北,简装
西潞园一里，满五唯一三居室，低楼层。,76.66,板楼,1994年,2018-06-08,2002-10-28,房山,良乡,西潞园一里,31829.0,244.0,3室1厅,底层,6,439,22,南 北,简装
万年花城二期南向两居室 带露台 首套1.5%契税 随时看,100.19,板塔结合,2007年,2018-06-16,2009-06-23,丰台,玉泉营,万年花城二期,65875.0,660.0,2室2厅,低楼层,9,203,30,南,精装
万柳怡秀园三居室 满五年 购房成本低 车位充足有钥匙,86.49,塔楼,1999年,2018-06-17,2001-09-18,海淀,苏州桥,小南庄怡秀园,81860.0,708.0,3室1厅,低楼层,18,58,21,东 北,简装
万年花城五期 2室1厅 645万,91.11,板楼,2011年,2018-06-18,2011-11-18,丰台,玉泉营,万年花城五期,70794.0,645.0,2室1厅,低楼层,21,152,26,南 北,简装
正规带客厅两居，南北通透，好楼层，95年板楼毛坯房,55.62,板楼,1995年,2018-06-19,2016-06-13,丰台,五里店,南五里店45号院,49983.0,278.0,2室1厅,中楼层,6,93,25,南 北,毛坯
广安康馨家园 南向两居，满二年，看房方便，随时签约,72.79,板楼,2015年,2018-06-21,2016-07-19,丰台,青塔,广安﹒康馨家园,45336.0,330.0,2室1厅,低楼层,34,240,28,南,简装
满五年唯一 精装修 西向大两居 带车位,141.08,塔楼,2007年,2018-06-27,2011-06-16,朝阳,亚运村,荣尊堡国际俱乐部公寓,70741.0,998.0,2室2厅,中楼层,24,276,29,西,精装
罗庄东里南北向两居室   户型方正采光好！,46.08,板楼,1993年,2018-06-28,2015-11-06,海淀,知春路,罗庄东里,93316.0,430.0,2室1厅,高楼层,6,86,21,南 北,其他
富东嘉园满五年商品房，业主诚售，看房随时有钥匙,66.82,板楼,2004年,2018-06-28,2005-06-30,朝阳,东坝,上东上层,48639.0,325.0,1室1厅,低楼层,6,56,18,西北,其他
全明格局三居室 满五年公房 带电梯,88.16,塔楼,1998年,2018-06-30,2000-07-21,丰台,马家堡,丰开苑,59994.0,528.9,3室1厅,中楼层,18,234,25,西南 西北,精装
怡海花园东南向两居室 带电梯 双阳台 看房方便,100.39,塔楼,2001年,2018-06-30,2003-01-24,丰台,科技园区,怡海花园富润园,58771.0,590.0,2室1厅,高楼层,18,571,26,东南,简装
颐源居东南观景两居 采光好 可以欣赏这个八一湖哟,112.66,塔楼,2000年,2018-07-06,2002-11-25,海淀,公主坟,颐源居小区,104740.0,1180.0,2室1厅,高楼层,28,48,20,东南,精装
满五唯一公房 南北通透  全明格局  适合刚需,60.86,板楼,1993年,2018-07-07,2007-12-06,丰台,七里庄,泥洼路5号院,58824.0,358.0,2室1厅,顶层,6,263,21,南 北,简装
板楼一梯两户，总高9层，中间楼层，南北通透精装三居,131.29,板楼,2008年,2018-07-07,2011-08-19,海淀,学院路,中铁翰庭,103588.0,1360.0,3室2厅,低楼层,18,89,24,南 西 北,精装
西南三环边 丰益花园东区 南北两居 随时签约 双公园,91.68,塔楼,2003年,2018-07-10,2005-01-05,丰台,丽泽,丰益花园东区,54538.0,500.0,2室1厅,低楼层,28,63,22,南 北,简装
学院路林大北路9号院南北通透中楼层2居室，客厅带窗户,64.9,板楼,1988年,2018-07-10,2007-09-26,海淀,学院路,林大北路9号院,83205.0,540.0,2室1厅,中楼层,6,154,25,东 南 北,简装
楼层高，视野好，税费少，业主诚意出售。,103.19,塔楼,2009年,2018-07-15,2009-12-30,朝阳,望京,首开知语城,79950.0,825.0,3室1厅,顶层,22,225,25,西南,简装
碧水二期三居 低总价 临公园 无个税 无遮挡 钥匙房,113.31,塔楼,2004年,2018-07-15,2007-04-13,海淀,万柳,碧水云天,123555.0,1400.0,3室1厅,低楼层,16,447,23,南 东北,精装
DBC加州小镇 中间位置 三居室 采光好,139.0,板楼,2007年,2018-07-18,2008-06-21,通州,临河里,DBC加州小镇,48921.0,680.0,3室1厅,中楼层,8,151,22,南 北,精装
武夷花园牡丹园   中间楼层   南北通透,88.4,板楼,2001年,2018-07-22,2007-06-12,通州,武夷花园,武夷花园牡丹园,50905.0,450.0,2室2厅,中楼层,7,61,28,南 北,精装
满五年公房 南北通透 业主诚意出售,62.41,板楼,1998年,2018-07-22,2013-08-16,海淀,学院路,林大北路9号院,80116.0,500.0,2室1厅,高楼层,6,86,22,南 北,简装
丰台地铁10号线 精装修 全南向大两居 满五唯一,100.68,板塔结合,2005年,2018-07-22,2006-03-29,丰台,玉泉营,三环新城7号院,56417.0,568.0,2室1厅,中楼层,29,66,22,南,精装
