carname,officialprice,carfuelc,brand,MIITfuelc,displacement,rank,gearbox,cartype,ranking,carstrength,configuration,major,ownerevaluate,price,versions1,versionsp1,versions2,versionsp2
汉腾X7,7.98-15.68万,7.70-10.50L/100km,汉腾,暂无信息,"['1.5T', '2.0T']",紧凑型SUV,"['手动', '手自一体', '双离合']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.5,一般,测试中,优秀,一般, 2018款 X7S 2.0T DCT智享旗舰型,15.68万, 2018款 X7S 2.0T DCT尊享型,12.98万
本田UR-V,24.68-32.98万,7.70-11.40L/100km,本田,暂无信息,"['1.5T', '2.0T']",中型SUV,"['手自一体', '无级变速']",[],该车车实力评分高于55%同级别车系查看详情,76.1,良好,良好,一般,一般, 2017款 370TURBO 四驱尊耀版,32.98万, 2017款 370TURBO 四驱尊享版,29.28万
哈弗H6 Coupe,11.90-12.70万,8.50-9.30L/100km,哈弗,暂无信息,"['1.5T', '2.0T']",紧凑型SUV,['双离合'],[],该车车实力评分高于63%同级别车系查看详情,73.7,一般,良好,优秀,一般, 2018款 蓝标 1.5T 自动两驱超豪型,12.5万, 2018款 蓝标 1.5T 自动两驱豪华型,11.9万
哈弗M6,6.60-8.60万,8.50-9.50L/100km,哈弗,暂无信息,['1.5T'],紧凑型SUV,"['手动', '双离合']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.0,一般,测试中,良好,一般, 2018款 1.5T 手动两驱精英型,7.1万, 2018款 1.5T DCT两驱精英型,停售
观致5 SUV,13.99-19.49万,8.50-9.60L/100km,观致,暂无信息,['1.6T'],紧凑型SUV,"['手动', '双离合']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.5,一般,测试中,优秀,一般, 2019款 智云互联版,未上市, 2018款 1.6T 自动尊贵型,17.49万
智跑,11.99-18.98万,8.50-9.70L/100km,起亚,7.80-9.50L/100km,"['2.0L', '2.4L']",紧凑型SUV,"['手动', '手自一体']",[],该车车实力评分高于38%同级别车系查看详情,70.8,较弱,良好,优秀,良好, 2018款 2.0L 自动智享豪华版,13.99万, 2016款 2.0L 自动两驱版GLS,17.28万
DS 7,20.89-30.99万,8.50-10.50L/100km,DS,暂无信息,['1.6T'],紧凑型SUV,['手自一体'],[],该车车实力评分高于98%同级别车系查看详情,79.6,良好,优秀,优秀,较弱, 2018款 45THP 里沃利先锐版,24.19万, 2018款 45THP 里沃利先锋版,26.99万
柯兰多Korando,13.98-24.98万,8.50-12.70L/100km,双龙,暂无信息,"['2.0L', '2.0T']",紧凑型SUV,"['手动', '手自一体']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分43.5,较弱,测试中,良好,一般, 2015款 2.0L 汽油四驱自动致尊版 ,19.98万, 2015款 2.0L 汽油四驱自动致享版 ,18.28万
奔腾X80,9.98-14.78万,8.60-11.00L/100km,奔腾,暂无信息,"['1.8T', '2.0L', '2.3L']",紧凑型SUV,"['手动', '手自一体']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.0,一般,测试中,良好,良好, 2018款 Live版 1.8T 自动旗舰型,14.78万, 2018款 2.0L 自动20周年纪念版,13.48万
DS 6,20.69-27.29万,8.70-9.30L/100km,DS,暂无信息,"['1.6T', '1.8T']",紧凑型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分53.5,一般,测试中,优秀,一般, 2018款 30THP 尊贵型,22.99万, 2018款 30THP 奢华型,27.29万
陆风X5,7.98-11.58万,8.70-10.50L/100km,陆风,暂无信息,"['1.5T', '2.0T']",紧凑型SUV,"['手动', '手自一体', '无级变速']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.3,一般,测试中,优秀,一般, 2016款 Plus 1.5T 手动创领版,停售, 2016款 Plus 1.5T 手动创享版,停售
陆风X9,14.58-16.58万,8.80-9.00L/100km,陆风,6.13-10.50L/100km,"['2.0L', '2.0T', '2.4L', '2.5T']",紧凑型SUV,['手动'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分37.9,较弱,测试中,优秀,一般, 2013款 2.0T 两驱柴油版,14.58万, 2009款 2.5T VM 手动四驱,停售
卡威W1,9.48-10.33万,9.00-12.00L/100km,卡威汽车,暂无信息,"['2.0L', '2.4L']",紧凑型SUV,['手动'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分38.6,较弱,测试中,优秀,一般, 2014款 2.4L 两驱至尊型,10.33万,,
昌河Q7,8.79-14.89万,9.00-12.00L/100km,昌河,暂无信息,['1.5T'],紧凑型SUV,"['手动', '无级变速']",[],该车车实力评分高于8%同级别车系查看详情,66.2,一般,一般,良好,一般, 2018款 1.5T CVT豪华型 5座,13.69万,,
揽胜极光,38.58-55.38万,9.10-12.60L/100km,路虎,暂无信息,['2.0T'],紧凑型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分50.9,良好,测试中,良好,较弱, 2018款 2.0T 240PS 梦莲湖蓝限量版,51.48万, 2018款 2.0T 240PS SE 智耀版 ,45.48万
帕拉丁,16.48-24.78万,9.20-13.10L/100km,日产,7.80-10.00L/100km,['2.4L'],紧凑型SUV,['手动'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分36.4,较弱,测试中,一般,较弱, 2013款 2.4L 四驱豪华纪念版 国IV,24.78万, 2013款 2.4L 四驱标准型 国IV,20.48万
斯巴鲁XV,19.18-22.18万,9.30-9.60L/100km,斯巴鲁,7.40L/100km,['2.0L'],紧凑型SUV,['无级变速'],[],该车车实力评分高于79%同级别车系查看详情,75.7,一般,良好,优秀,良好, 2018款 基本型,未上市, 2018款 Fun Adventure Concept,未上市
经典圣达菲,6.08-6.98万,9.30-10.50L/100km,华泰,7.40-8.20L/100km,"['1.8T', '2.0L', '2.0T', '2.7L']",紧凑型SUV,['手动'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分37.7,较弱,测试中,较弱,一般, 2016款 电动版 基本型,未上市, 2013款 2.0T 柴油手动四驱天窗型,停售
宝利格,7.37-11.58万,9.40-11.20L/100km,华泰,暂无信息,"['1.8T', '2.0L', '2.0T']",紧凑型SUV,"['手动', '手自一体']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分44.5,较弱,测试中,良好,一般, 2016款 基本型,未上市, 2014款 2.0T 手动智静版 两驱,停售
超级维特拉,26.48-27.48万,9.80-10.70L/100km,铃木,6.60-10.80L/100km,"['1.6L', '2.0L', '2.4L', '3.2L']",紧凑型SUV,"['手动', '自动']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分44.9,一般,测试中,良好,较弱, 2015款 基本型,未上市, 2013款 基本型,未上市
绅宝X65,9.88-14.98万,10.20-11.80L/100km,北汽绅宝,暂无信息,['2.0T'],紧凑型SUV,"['手动', '手自一体']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.1,一般,测试中,优秀,一般, 2015款 2.0T 自动豪华型,14.98万, 2015款 2.0T 自动精英型,12.98万
指南者(进口),22.19-28.09万,10.70-11.00L/100km,Jeep,7.60-9.50L/100km,"['2.0L', '2.4L']",紧凑型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分45.7,一般,测试中,良好,一般, 2017款 Trailhawk,未上市, 2017款 Sport 4×4,未上市
自由客,22.19-27.69万,10.80-11.00L/100km,Jeep,8.70L/100km,"['2.0L', '2.4L']",紧凑型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分44.2,较弱,测试中,良好,一般, 2015款 2.4L 四驱运动版,24.59万, 2014款 基本型,停售
哈弗H9,21.98-27.28万,7.70-12.40L/100km,哈弗,暂无信息,['2.0T'],中大型SUV,['手自一体'],[],该车车实力评分高于21%同级别车系查看详情,78.1,良好,良好,良好,优秀, 2017款 柴油版 基本型,未上市, 2017款 2.0T 汽油 自动豪华型 7座,24.98万
传祺GS4,8.98-15.18万,7.70-12.50L/100km,广汽传祺,暂无信息,"['1.3T', '1.5T']",紧凑型SUV,"['手动', '自动', '双离合']",[],该车车实力评分高于10%同级别车系查看详情,66.7,一般,一般,一般,良好, 2018款 235T 自动四驱豪华智联版,14.18万, 2018款 235T 自动四驱至尊版,15.18万
传祺GS3,7.38-11.68万,7.80-8.60L/100km,广汽传祺,暂无信息,"['1.3T', '1.5L']",小型SUV,"['手动', '手自一体']",[],该车车实力评分高于55%同级别车系查看详情,66.3,较弱,良好,一般,一般, 2017款 200T 自动豪华版,10.58万, 2017款 200T 自动精英版,9.68万
绅宝X55,7.68-11.98万,7.80-9.20L/100km,北汽绅宝,暂无信息,"['1.5L', '1.5T']",小型SUV,"['手动', '无级变速']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分45.5,较弱,测试中,优秀,一般, 2016款 1.5T 自动豪华版,11.98万, 2016款 1.5T 自动舒适版,9.68万
昂科拉,13.99-18.99万,7.80-9.50L/100km,别克,暂无信息,['1.4T'],小型SUV,"['手动', '手自一体']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分47.3,较弱,测试中,优秀,一般, 2018款 18T 自动两驱都市领先型,14.99万, 2018款 18T 自动两驱都市精英型,16.99万
君马S70,8.19-11.59万,7.80-9.50L/100km,君马汽车,暂无信息,['1.5T'],中型SUV,"['手动', '自动']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.6,一般,测试中,一般,一般, 2018款 1.5T 自动 豪华型,10.69万, 2018款 1.5T 自动 旗舰运动型,未上市
荣威RX3,8.98-13.58万,7.80-9.80L/100km,荣威,暂无信息,"['1.3T', '1.6L']",紧凑型SUV,"['手动', '手自一体', '无级变速']",[],该车车实力评分高于44%同级别车系查看详情,71.0,一般,良好,优秀,良好, 2018款 18T 自动互联网智尊版,13.58万, 2018款 1.6L 手动旗舰版,9.98万
森林人,22.38-31.78万,7.80-9.90L/100km,斯巴鲁,8.40-13.10L/100km,"['2.0L', '2.0T', '2.5L', '2.5T']",紧凑型SUV,['无级变速'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分52.8,良好,测试中,优秀,一般, 2019款 运动版,未上市, 2019款 基本型,未上市
缤智,12.88-18.98万,7.80-10.10L/100km,本田,暂无信息,"['1.5L', '1.8L']",小型SUV,"['手动', '无级变速']",[],该车车实力评分高于77%同级别车系查看详情,70.4,一般,良好,良好,良好, 2018款 1.5L CVT 两驱舒适版,13.68万, 2018款 1.5L CVT 两驱科技精英版,14.58万
吉姆尼(进口),14.18-16.08万,7.80-10.50L/100km,铃木,7.30-7.80L/100km,['1.3L'],小型SUV,"['手动', '自动']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分37.6,较弱,测试中,良好,较弱, 2018款 基本型,未上市, 2015款 1.3L AT JLX导航版,15.48万
捷途X70,6.99-12.09万,7.80-10.50L/100km,捷途,暂无信息,['1.5T'],中型SUV,"['手动', '手自一体']",[],该车车实力评分高于7%同级别车系查看详情,66.6,一般,一般,一般,良好, 2018款 1.5T 自动智行版,11.09万, 2018款 1.5T 自动悦行版,9.99万
长安CS35 PLUS,6.99-10.49万,7.80-10.50L/100km,长安汽车,暂无信息,['1.6L'],小型SUV,"['手动', '手自一体']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分46.9,一般,测试中,优秀,一般, 2018款 1.6L 自动智联型,10.49万, 2018款 1.6L 手动智联型,8.99万
凯翼X5,7.99-10.49万,7.80-10.50L/100km,凯翼,暂无信息,"['1.5T', '2.0L']",紧凑型SUV,"['手动', '无级变速']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.2,一般,测试中,优秀,一般, 2017款 1.5T 手动旗舰型,9.69万, 2017款 1.5T 手动尊贵型,8.49万
