工作链接,公司全名,公司链接,公司简称,公司规模,融资阶段,区域,职位名称,学历要求,工作经验,薪资范围,职位福利,工作领域,工作类型,工作技能,发布时间,是否全职,具体工作,地铁线路
https://www.lagou.com/jobs/5153937.html,颐邦（北京）医院管理有限公司,https://www.lagou.com/gongsi/452635.html,颐邦科技,少于15人,天使轮,海淀区,Python研发工程师,本科,1-3年,15k-25k,"团队优秀,技术强,薪酬高,福利好","医疗健康,硬件",[],"['Java', 'Golang', '后端']",2018-11-26 16:39:27,全职,后端开发,4号线大兴线_中关村;4号线大兴线_北京大学东门;4号线大兴线_圆明园;13号线_五道口
https://www.lagou.com/jobs/5226606.html,瞬联软件科技（北京）有限公司,https://www.lagou.com/gongsi/14093.html,瞬联软件科技（北京）有限公司,500-2000人,不需要融资,朝阳区,python开发,本科,3-5年,10k-18k,"七险一金,带薪年假,弹性工作,职位晋升","移动互联网 ,企业服务",[],['后端'],2018-12-05 11:29:19,全职,后端开发,
https://www.lagou.com/jobs/4347851.html,永杨安风（北京）科技有限公司,https://www.lagou.com/gongsi/490.html,LBE 科技,50-150人,B轮,朝阳区,python工程师,本科,3-5年,20k-40k,"六险一金,工作居住证,扁平管理",移动互联网,"['广告营销', '移动互联网', 'Golang', 'Java']","['Golang', 'Java']",2018-11-30 10:33:55,全职,后端开发,1号线_四惠东;八通线_四惠东;八通线_高碑店
https://www.lagou.com/jobs/2704328.html,掌阅科技股份有限公司,https://www.lagou.com/gongsi/2098.html,掌阅,500-2000人,上市公司,朝阳区,高级Python研发工程师,本科,3-5年,25k-35k,"扁平化管理,福利待遇佳,学习氛围好,晋升空间大",移动互联网,"['云计算', 'Java', '云计算']","['Java', '云计算']",2018-12-05 09:49:17,全职,后端开发,1号线_四惠东;八通线_四惠东;八通线_高碑店
https://www.lagou.com/jobs/3889355.html,北京一览科技有限公司,https://www.lagou.com/gongsi/212939.html,一览科技,150-500人,B轮,朝阳区,python开发工程师,本科,3-5年,20k-40k,福利优厚,"移动互联网,文化娱乐","['大数据', '视频', '软件开发']",['软件开发'],2018-12-04 19:39:01,全职,企业软件,14号线东段_来广营;14号线东段_东湖渠
https://www.lagou.com/jobs/4347823.html,国美金控投资有限公司,https://www.lagou.com/gongsi/98285.html,国美金控,2000人以上,未融资,朝阳区,python研发工程师,本科,5-10年,30k-40k,"大平台,新项目,领导卓越",金融,"['云计算', 'Java', '云计算']","['Java', '云计算']",2018-12-05 14:49:48,全职,后端开发,10号线_三元桥;10号线_亮马桥;机场线_三元桥
https://www.lagou.com/jobs/2862273.html,北京果壳互动科技传媒有限公司,https://www.lagou.com/gongsi/11209.html,果壳网,150-500人,C轮,朝阳区,高级Python开发工程师,本科,3-5年,20k-40k,"八险一金,免费三餐,不加班,弹性工作","移动互联网,社交网络",['大数据'],[],2018-12-05 09:49:55,全职,后端开发,1号线_国贸;1号线_大望路;7号线_九龙山;10号线_国贸;14号线东段_大望路;14号线东段_九龙山
https://www.lagou.com/jobs/4862184.html,北京国双科技有限公司,https://www.lagou.com/gongsi/3038.html,Gridsum 国双,500-2000人,上市公司,海淀区,资深Python研发工程师,本科,3-5年,20k-40k,"上市公司,六险一金,发挥空间,团队氛围","数据服务,企业服务",[],"['后端', '平台', '云计算']",2018-12-04 18:16:16,全职,后端开发,10号线_牡丹园;15号线_北沙滩
https://www.lagou.com/jobs/4909121.html,北京源清慧虹信息科技有限公司,https://www.lagou.com/gongsi/28997.html,源清慧虹,50-150人,B轮,海淀区,高级python研发工程师,本科,3-5年,20k-30k,"二次医疗,健身场所,福利补助","信息安全,数据服务","['大数据', '数据架构', '数据分析', '数据库开发']","['数据架构', '数据分析', '数据库开发']",2018-12-05 12:46:45,全职,数据开发,8号线_永泰庄;8号线_西小口;8号线_育新
https://www.lagou.com/jobs/5379934.html,北京云杉智达科技有限公司,https://www.lagou.com/gongsi/463774.html,云杉智达科技,15-50人,不需要融资,海淀区,技术总监（Python）,本科,3-5年,17k-27k,五险一金、晋升空间、绩效奖金,"移动互联网,企业服务","['企业服务', '移动互联网', '技术管理', '系统架构', '部门管理', '领导力']","['技术管理', '系统架构', '部门管理', '领导力']",2018-12-05 11:11:49,全职,高端技术职位,1号线_五棵松
